reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000193,Gly,false,enzyme_cycle_or_branch,GlyRS_ATP_tRNAGlyGCC:1|Gly:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,0.024,true,Aminoacylation_B_GlyGCC
re0000000194,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1|Gly:1,3.2,true,Aminoacylation_B_GlyGCC
re0000000195,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_tRNAGlyGCC:1|ATP:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,10.0,true,Aminoacylation_B_GlyGCC
re0000000196,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1|ATP:1,4500.0,true,Aminoacylation_B_GlyGCC
re0000000197,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,2.0,true,Aminoacylation_B_GlyGCC
re0000000198,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,0.0,false,Aminoacylation_B_GlyGCC
re0000000199,Gly,false,enzyme_cycle_or_branch,GlyRS:1|tRNAGlyGCC:1,GlyRS_tRNAGlyGCC:1,376.0,true,Aminoacylation_B_GlyGCC
re0000000200,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly:1|tRNAGlyGCC:1,GlyRS_Gly_tRNAGlyGCC:1,376.0,true,Aminoacylation_B_GlyGCC
re0000000201,Gly,false,enzyme_cycle_or_branch,GlyRS_tRNAGlyGCC:1,GlyRS:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000202,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_tRNAGlyGCC:1,GlyRS_Gly:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000203,Gly,false,enzyme_cycle_or_branch,GlyRS_ATP:1|tRNAGlyGCC:1,GlyRS_ATP_tRNAGlyGCC:1,376.0,true,Aminoacylation_B_GlyGCC
re0000000204,Gly,false,enzyme_cycle_or_branch,GlyRS_ATP_tRNAGlyGCC:1,GlyRS_ATP:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000205,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP:1|tRNAGlyGCC:1,GlyRS_Gly_ATP_tRNAGlyGCC:1,376.0,true,Aminoacylation_B_GlyGCC
re0000000206,Gly,false,enzyme_cycle_or_branch,GlyRS_Gly_ATP_tRNAGlyGCC:1,GlyRS_Gly_ATP:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
re0000000207,Gly,true,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi:1|tRNAGlyGCC:1,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,353.0,true,Aminoacylation_B_GlyGCC
re0000000208,Gly,false,enzyme_cycle_or_branch,GlyRS_GlyAMP_PPi_tRNAGlyGCC:1,GlyRS_GlyAMP_PPi:1|tRNAGlyGCC:1,100.0,true,Aminoacylation_B_GlyGCC
